jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Štráfeldová, Hana",Praha 6,www.hanastrafeldova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Psychoterapie zaměřená na tělo
"Collerová, Jitka",Praha 6,https://www.bebalanced.cz/team/mgr-jitka-collerova/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Cerhová Kořínková, Pavla",Praha,www.pavlakorinkova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,On-line,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Plaček, Pavel",Nymburk,Neuvedeno,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","Možnost terapie venku, On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vizinová, Daniela",,,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Křivancová, Kateřina",Chrustenice,,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Ročňák, Jakub",Příbram III,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Žert, Vojtěch",Brno-sever-Černá Pole,https://www.terapieszertem.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Nováková, Jana",Beroun,www.psychologie-baobab.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Psychoterapie zaměřená na tělo
"Krčová, Iveta","K Botiči 6, 110 00 Praha 10",,Přijímám nové klienty,"Děti: předškoláci, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
